IMIS_CODE,PARENT_CHA,ZONE_NAME,CIRCLE_NAM,CHANNEL_NA,CHANNEL_TY,DESIGNED_D
3.11E+16,Punjnad H/W,Bahawalpur,Bahawalpur,Abbassia Link Canal,MC,5600
3.11E+16,Abbassia Canal,Bahawalpur,Bahawalpur,6-R/AC Disty,D,19
3.11E+16,Abbassia Canal,Bahawalpur,Bahawalpur,7-R/AC Disty,D,127
3.11E+16,7-R/AC Disty,Bahawalpur,Bahawalpur,1-R/7-R Minor,M,37
3.11E+16,Abbassia Canal,Bahawalpur,Bahawalpur,1-L/AC Disty,D,411
3.11E+16,1-L/AC Disty,Bahawalpur,Bahawalpur,1-R/1-L Minor,M,31
3.11E+16,1-L/AC Disty,Bahawalpur,Bahawalpur,2-R/1-L Minor,M,48
3.11E+16,1-L/AC Disty,Bahawalpur,Bahawalpur,1-L/1-L Minor,M,131
3.11E+16,1-L/1-L Minor,Bahawalpur,Bahawalpur,1-R/1-L/1-L Sub Minor,SM,23
3.11E+16,1-L/AC Disty,Bahawalpur,Bahawalpur,2-L/1-L Minor,M,70
3.11E+16,1-L/AC Disty,Bahawalpur,Bahawalpur,3-L/1-L Minor,M,18
3.11E+16,Abbassia Canal,Bahawalpur,Bahawalpur,Basit Disty,D,34
3.11E+16,Abbassia Feeder,Bahawalpur,Rahimyar Khan,Lower Amir Din Disty,D,15.5
3.11E+16,Minchin Branch,Bahawalpur,Rahimyar Khan,Upper Amir Din Disty,D,18
3.11E+16,Minchin Branch,Bahawalpur,Rahimyar Khan,Link Disty,D,39
3.11E+16,Minchin Branch,Bahawalpur,Rahimyar Khan,Jamal Disty,D,10
3.11E+16,Minchin Branch,Bahawalpur,Rahimyar Khan,Dashtian Disty,D,9
3.11E+16,Minchin Branch,Bahawalpur,Rahimyar Khan,Sherin Disty,D,232
3.11E+16,Sherin Disty,Bahawalpur,Rahimyar Khan,Khanpur Minor,M,21
3.11E+16,Sherin Disty,Bahawalpur,Rahimyar Khan,Lower Nawankot Minor,M,36
3.11E+16,Sherin Disty,Bahawalpur,Rahimyar Khan,Sehja Minor,M,8
3.11E+16,Minchin Branch,Bahawalpur,Rahimyar Khan,Abehayat Disty,D,683
3.11E+16,Abehayat Disty,Bahawalpur,Rahimyar Khan,Rahim Minor,D,14
3.11E+16,Abehayat Disty,Bahawalpur,Rahimyar Khan,Colony Minor,M,8
3.11E+16,Abehayat Disty,Bahawalpur,Rahimyar Khan,Shadab Minor,M,36
3.11E+16,Shadab Minor,Bahawalpur,Rahimyar Khan,Mondi Sub Minor,SM,23
3.11E+16,Abehayat Disty,Bahawalpur,Rahimyar Khan,1/L Abehayat Minor,M,223
3.11E+16,1/L Abehayat Minor,Bahawalpur,Rahimyar Khan,1R/IL Abehayat Sub Minor,SM,22
3.11E+16,1/L Abehayat Minor,Bahawalpur,Rahimyar Khan,2R/IL Abehayat Sub Minor,SM,2
3.11E+16,Abehayat Disty,Bahawalpur,Rahimyar Khan,Pir Chanan Minor,M,18
3.11E+16,Abehayat Disty,Bahawalpur,Rahimyar Khan,Jhole Minor,M,19
3.11E+16,Abehayat Disty,Bahawalpur,Rahimyar Khan,Shergarh Minor,M,47
3.11E+16,Sherin Disty,Bahawalpur,Rahimyar Khan,Nazir Minor,M,16
3.11E+16,Sherin Disty,Bahawalpur,Rahimyar Khan,Bakhshan Minor,M,12
3.11E+16,Lower Haji Disty,Bahawalpur,Rahimyar Khan,Bahishti Minor,M,13
3.11E+16,Sherin Disty,Bahawalpur,Rahimyar Khan,Lower Haji Disty,D,78
3.11E+16,Rahimyar Khan Branch,Bahawalpur,Rahimyar Khan,Sultan Pur Disty,D,37
3.11E+16,Rahimyar Khan Branch,Bahawalpur,Rahimyar Khan,Azim Disty,D,13
3.11E+16,Rahimyar Khan Branch,Bahawalpur,Rahimyar Khan,Tarinda Disty,D,231
3.11E+16,Tarinda Disty,Bahawalpur,Rahimyar Khan,Channa Minor,M,8
3.11E+16,Tarinda Disty,Bahawalpur,Rahimyar Khan,Pattan Munara Minor,M,79
3.11E+16,Pattan Munara Mionr,Bahawalpur,Rahimyar Khan,Akbar Sub Minor,M,9
3.11E+16,Tarinda Disty,Bahawalpur,Rahimyar Khan,Jue Sheer Minor,M,14
3.11E+16,Sadiq Feeder,Bahawalpur,Rahimyar Khan,Nasim Disty,D,8
3.11E+16,Sadiq Branch,Bahawalpur,Rahimyar Khan,Adam Sohaba Disty,D,460
3.11E+16,Adam Sohaba Disty,Bahawalpur,Rahimyar Khan,Naushera Minor,M,57
3.11E+16,Adam Sohaba Disty,Bahawalpur,Rahimyar Khan,Sianwar Minor,M,138
3.11E+16,Sianwar Minor,Bahawalpur,Rahimyar Khan,Barthla Sub Minor,M,7
3.11E+16,Sianwar Minor,Bahawalpur,Rahimyar Khan,Lunda Sub Minor,M,6
3.11E+16,Sianwar Minor,Bahawalpur,Rahimyar Khan,Chandrami Sub Minor,M,29
3.11E+16,Sianwar Minor,Bahawalpur,Rahimyar Khan,Akil Sub Minor,M,5
3.11E+16,Adam Sohaba Disty,Bahawalpur,Rahimyar Khan,Bangla Minor,M,6
3.11E+16,Adam Sohaba Disty,Bahawalpur,Rahimyar Khan,Mandi Minor,M,11
3.11E+16,Adam Sohaba Disty,Bahawalpur,Rahimyar Khan,Wadera Minor,M,18
3.11E+16,Adam Sohaba Disty,Bahawalpur,Rahimyar Khan,Tibbi Minor,M,25
3.11E+16,Adam Sohaba Disty,Bahawalpur,Rahimyar Khan,Bindoor Minor,M,88
3.11E+16,Bindoor Minor,Bahawalpur,Rahimyar Khan,Ther Sub Minor,M,17
3.11E+16,Sadiq Branch,Bahawalpur,Rahimyar Khan,Kausar Disty,D,14
3.11E+16,Sadiq Branch,Bahawalpur,Rahimyar Khan,Nishat Disty,D,8
3.11E+16,Sadiq Branch,Bahawalpur,Rahimyar Khan,Upper Wah Faquiran Disty,D,3
3.11E+16,Sadiq Branch,Bahawalpur,Rahimyar Khan,Naushera Link Disty,D,3
3.11E+16,Sadiq Branch,Bahawalpur,Rahimyar Khan,Lower Wah Faquiran Disty,D,9
3.11E+16,Sadiq Branch,Bahawalpur,Rahimyar Khan,Kacha Disty,D,7
3.11E+16,Sadiq Branch,Bahawalpur,Rahimyar Khan,Nal Disty,D,39
3.11E+16,Nal Disty,Bahawalpur,Rahimyar Khan,Zarin Minor,M,12
3.11E+16,Sadiq Branch,Bahawalpur,Rahimyar Khan,Kohna Disty,M,14
3.11E+16,Sadiq Branch,Bahawalpur,Rahimyar Khan,Talla Disty,M,51
3.11E+16,Sadiq Branch,Bahawalpur,Rahimyar Khan,Chamman Disty,D,67
3.11E+16,Chamman Disty,Bahawalpur,Rahimyar Khan,1R-Chamamn Minor,M,14
3.11E+16,Sadiq Branch,Bahawalpur,Rahimyar Khan,Manthar Disty,D,9
3.11E+16,Sadiq Branch,Bahawalpur,Rahimyar Khan,Gullan Disty,D,273
3.11E+16,Gullan Disty,Bahawalpur,Rahimyar Khan,Malu Minor,M,21
3.11E+16,Gullan Disty,Bahawalpur,Rahimyar Khan,Bagh Minor,M,9
3.11E+16,Gullan Disty,Bahawalpur,Rahimyar Khan,Lakhi Minor,M,99
3.11E+16,Lakhi Minor,Bahawalpur,Rahimyar Khan,Adohda Sub Minor,M,6
3.11E+16,Lakhi Minor,Bahawalpur,Rahimyar Khan,1L-Lakhi Minor,M,24
3.11E+16,1L-Lakhi Minor,Bahawalpur,Rahimyar Khan,1L/1L Lakhi Sub Minor,M,13
3.11E+16,Sadiq Branch,Bahawalpur,Rahimyar Khan,Kandera Disty,D,89
3.11E+16,Kandera Disty,Bahawalpur,Rahimyar Khan,1L-Kandera Minor,D,18
3.11E+16,Kandera Disty,Bahawalpur,Rahimyar Khan,1R-Kandera Minor,M,11
3.11E+16,Abbassia Canal,Bahawalpur,Bahawalpur,Abbassia Feeder,MC,3580
3.11E+16,Minchin Branch,Bahawalpur,Rahimyar Khan,Sadiq Feeder,BC,2184
3.11E+16,Punjnad H/W,Bahawalpur,Bahawalpur,Abbassia Canal,MC,1394
3.11E+16,Banwah Disty,Bahawalpur,Bahawalpur,Khalifa Minor,M,22.97
3.11E+16,Abbassia Canal,Bahawalpur,Bahawalpur,Bukhari Disty,D,13.35
3.11E+16,Abbassia Canal,Bahawalpur,Bahawalpur,Mamoon Disty,D,14.63
3.11E+16,Abbassia Canal,Bahawalpur,Bahawalpur,Karamwah Disty,D,57
3.11E+16,Karamwah Disty,Bahawalpur,Bahawalpur,Tasneem Minor,M,7.64
3.11E+16,Abbassia Canal,Bahawalpur,Bahawalpur,1-R/AC Disty,D,45
3.11E+16,1-R/AC Disty,Bahawalpur,Bahawalpur,1-L/1-R/AC Minor,M,19
3.11E+16,3-R/AC Disty,Bahawalpur,Bahawalpur,2-R/AC Disty,D,57
3.11E+16,Abbassia Canal,Bahawalpur,Bahawalpur,3-R/AC Disty,D,401
3.11E+16,3-R/AC Disty,Bahawalpur,Bahawalpur,1AL/3-R/AC Minor,M,13
3.11E+16,3-R/AC Disty,Bahawalpur,Bahawalpur,1-R/3-R Minor,M,62
3.11E+16,1-R/3-R Minor,Bahawalpur,Bahawalpur,1-L/1-R/3-R Sub Minor,SM,10.5
3.11E+16,1-R/3-R Minor,Bahawalpur,Bahawalpur,1-R/1-R/3-R Sub Minor,SM,22
3.11E+16,3-R/AC Disty,Bahawalpur,Bahawalpur,1-L/3-R Minor,M,7
3.11E+16,Abbassia Canal,Bahawalpur,Bahawalpur,4-R/AC Disty,D,10
3.11E+16,Abbassia Canal,Bahawalpur,Bahawalpur,5-R/AC Disty,D,22
3.11E+16,Punjnad H/W,Bahawalpur,Bahawalpur,Punjnad Main Line,MC,10484
3.11E+16,Punjnad Main Line,Bahawalpur,Rahimyar Khan,Malkani Escape,E,2364
3.11E+16,Punjnad Main Line,Bahawalpur,Rahimyar Khan,Shikrani Disty,D,30
3.11E+16,Punjnad Main Line,Bahawalpur,Rahimyar Khan,Bhalla Jhulan Disty,D,26
3.11E+16,Punjnad Main Line,Bahawalpur,Rahimyar Khan,Noor Wala Disty,D,21
3.11E+16,Punjnad Main Line,Bahawalpur,Rahimyar Khan,Mohand Disty,D,67
3.11E+16,Mohand Disty,Bahawalpur,Rahimyar Khan,Tahir Minor,M,12
3.11E+16,Punjnad Main Line,Bahawalpur,Rahimyar Khan,Sangla Disty,D,196
3.11E+16,Sangla Disty,Bahawalpur,Rahimyar Khan,Trukari Minor,M,69
3.11E+16,Sangla Disty,Bahawalpur,Rahimyar Khan,Ghazipur Minor,M,63
3.11E+16,Ghazipur Minor,Bahawalpur,Rahimyar Khan,Gurgage Sub Minor,SM,13
3.11E+16,Punjnad Main Line,Bahawalpur,Rahimyar Khan,Behari Disty,D,399
